고유번호,법정동코드,법정동명,지번,대장구분코드,대장구분명,지목코드,지목,면적,소유구분코드,소유구분명,소유(공유)인수,축척구분코드,축척구분명,데이터기준일자,변동순번,입력구분,원천시도시군구코드
4715038024110330001,4715038024,경상북도 김천시 대항면 대성리,1033-1,1,토지대장,02,답,3.0,01,개인,1,12,1:1200,2025-06-27,173401526,U,47150
4715038024110320003,4715038024,경상북도 김천시 대항면 대성리,1032-3,1,토지대장,02,답,850.0,01,개인,0,12,1:1200,2025-06-27,173401458,U,47150
4715038024110320001,4715038024,경상북도 김천시 대항면 대성리,1032-1,1,토지대장,02,답,257.0,01,개인,0,12,1:1200,2025-06-27,173401420,U,47150
4715038024110310000,4715038024,경상북도 김천시 대항면 대성리,1031,1,토지대장,02,답,463.0,01,개인,0,12,1:1200,2025-06-27,173401377,U,47150
4715038024110290000,4715038024,경상북도 김천시 대항면 대성리,1029,1,토지대장,02,답,8762.0,01,개인,0,12,1:1200,2025-06-27,173398312,U,47150
4715043024107470000,4715043024,경상북도 김천시 부항면 사등리,747,1,토지대장,02,답,585.0,05,군유지,0,12,1:1200,2025-06-27,173392448,U,47150
4715041026106560002,4715041026,경상북도 김천시 구성면 금평리,656-2,1,토지대장,02,답,3166.0,05,군유지,0,12,1:1200,2025-06-27,173391701,U,47150
4715025026104400006,4715025026,경상북도 김천시 아포읍 봉산리,440-6,1,토지대장,02,답,139.0,05,군유지,0,10,1:1000,2025-06-27,173391667,U,47150
4715025026104400005,4715025026,경상북도 김천시 아포읍 봉산리,440-5,1,토지대장,02,답,109.0,05,군유지,0,10,1:1000,2025-06-27,173391631,U,47150
4715025026103680004,4715025026,경상북도 김천시 아포읍 봉산리,368-4,1,토지대장,03,과수원,108.0,05,군유지,0,10,1:1000,2025-06-27,173391595,U,47150
4715032028103880000,4715032028,경상북도 김천시 남면 초곡리,388,1,토지대장,08,대,73.0,01,개인,0,12,1:1200,2025-06-27,173391470,U,47150
4715039023107030000,4715039023,경상북도 김천시 감천면 도평리,703,1,토지대장,02,답,1630.0,01,개인,0,12,1:1200,2025-06-27,173391377,U,47150
4715010300101830007,4715010300,경상북도 김천시 모암동,183-7,1,토지대장,08,대,160.3,01,개인,0,00,수치,2025-06-27,173391217,U,47150
4715036026200720000,4715036026,경상북도 김천시 어모면 덕마리,72,2,임야대장,05,임야,27372.0,01,개인,1,60,1:6000,2025-06-27,173391161,U,47150
4715036026200720000,4715036026,경상북도 김천시 어모면 덕마리,72,2,임야대장,05,임야,27372.0,01,개인,1,60,1:6000,2025-06-27,173391160,U,47150
4715045026102310000,4715045026,경상북도 김천시 증산면 수도리,231,1,토지대장,05,임야,1286.0,01,개인,1,12,1:1200,2025-06-27,173374512,U,47150
4715045026102310000,4715045026,경상북도 김천시 증산면 수도리,231,1,토지대장,05,임야,1286.0,01,개인,1,12,1:1200,2025-06-27,173374511,U,47150
4715045026102340000,4715045026,경상북도 김천시 증산면 수도리,234,1,토지대장,08,대,1035.0,01,개인,1,12,1:1200,2025-06-27,173374391,U,47150
4715045026102340000,4715045026,경상북도 김천시 증산면 수도리,234,1,토지대장,08,대,1035.0,01,개인,1,12,1:1200,2025-06-27,173374390,U,47150
4715011900117740008,4715011900,경상북도 김천시 양천동,1774-8,1,토지대장,02,답,3246.0,05,군유지,0,12,1:1200,2025-06-27,173373779,U,47150
4715037022102580002,4715037022,경상북도 김천시 봉산면 인의리,258-2,1,토지대장,14,도로,19.0,01,개인,1,12,1:1200,2025-06-27,173373274,U,47150
4715037022102580000,4715037022,경상북도 김천시 봉산면 인의리,258,1,토지대장,08,대,492.0,01,개인,0,12,1:1200,2025-06-27,173366324,U,47150
4715037022102580000,4715037022,경상북도 김천시 봉산면 인의리,258,1,토지대장,08,대,492.0,01,개인,0,12,1:1200,2025-06-27,173366316,U,47150
4715010900105110015,4715010900,경상북도 김천시 교동,511-15,1,토지대장,01,전,516.0,06,법인,0,12,1:1200,2025-06-27,173365980,U,47150
4715010900105110010,4715010900,경상북도 김천시 교동,511-10,1,토지대장,01,전,144.0,06,법인,0,12,1:1200,2025-06-27,173365946,U,47150
4715011000108900140,4715011000,경상북도 김천시 삼락동,890-140,1,토지대장,14,도로,22.0,05,군유지,0,12,1:1200,2025-06-27,173365876,U,47150
4715011000108900139,4715011000,경상북도 김천시 삼락동,890-139,1,토지대장,14,도로,209.0,05,군유지,0,12,1:1200,2025-06-27,173365819,U,47150
4715011600200240006,4715011600,경상북도 김천시 덕곡동,24-6,2,임야대장,05,임야,52.0,05,군유지,2,60,1:6000,2025-06-27,173365749,U,47150
4715011600200240006,4715011600,경상북도 김천시 덕곡동,24-6,2,임야대장,05,임야,52.0,05,군유지,2,60,1:6000,2025-06-27,173365748,U,47150
4715011600200240005,4715011600,경상북도 김천시 덕곡동,24-5,2,임야대장,05,임야,226.0,05,군유지,2,60,1:6000,2025-06-27,173365688,U,47150
4715011600200240005,4715011600,경상북도 김천시 덕곡동,24-5,2,임야대장,05,임야,226.0,05,군유지,2,60,1:6000,2025-06-27,173365687,U,47150
4715011600200240004,4715011600,경상북도 김천시 덕곡동,24-4,2,임야대장,05,임야,3334.0,05,군유지,2,60,1:6000,2025-06-27,173365632,U,47150
4715011600200240004,4715011600,경상북도 김천시 덕곡동,24-4,2,임야대장,05,임야,3334.0,05,군유지,2,60,1:6000,2025-06-27,173365631,U,47150
4715011600200240003,4715011600,경상북도 김천시 덕곡동,24-3,2,임야대장,05,임야,1677.0,05,군유지,2,60,1:6000,2025-06-27,173365548,U,47150
4715011600200240003,4715011600,경상북도 김천시 덕곡동,24-3,2,임야대장,05,임야,1677.0,05,군유지,2,60,1:6000,2025-06-27,173365547,U,47150
4715045023108800000,4715045023,경상북도 김천시 증산면 동안리,880,1,토지대장,14,도로,1064.0,02,국유지,0,12,1:1200,2025-06-27,173365075,U,47150
4715044027110390000,4715044027,경상북도 김천시 대덕면 추량리,1039,1,토지대장,18,구거,1491.0,02,국유지,0,12,1:1200,2025-06-27,173364733,U,47150
4715040023109750000,4715040023,경상북도 김천시 조마면 강곡리,975,1,토지대장,02,답,2347.0,01,개인,1,12,1:1200,2025-06-27,173358838,U,47150
4715040023108400000,4715040023,경상북도 김천시 조마면 강곡리,840,1,토지대장,01,전,3633.0,01,개인,0,12,1:1200,2025-06-27,173358742,U,47150
4715038021107930000,4715038021,경상북도 김천시 대항면 향천리,793,1,토지대장,01,전,56.0,03,"외국인, 외국공공기관",3,12,1:1200,2025-06-27,173357843,U,47150
4715038021107930000,4715038021,경상북도 김천시 대항면 향천리,793,1,토지대장,01,전,56.0,03,"외국인, 외국공공기관",3,12,1:1200,2025-06-27,173357692,U,47150
4715038021107930000,4715038021,경상북도 김천시 대항면 향천리,793,1,토지대장,01,전,56.0,03,"외국인, 외국공공기관",3,12,1:1200,2025-06-27,173357492,U,47150
4715038021107930000,4715038021,경상북도 김천시 대항면 향천리,793,1,토지대장,01,전,56.0,03,"외국인, 외국공공기관",3,12,1:1200,2025-06-27,173357300,U,47150
4715038021107930000,4715038021,경상북도 김천시 대항면 향천리,793,1,토지대장,01,전,56.0,03,"외국인, 외국공공기관",3,12,1:1200,2025-06-27,173350575,U,47150
4715038021107930000,4715038021,경상북도 김천시 대항면 향천리,793,1,토지대장,01,전,56.0,03,"외국인, 외국공공기관",3,12,1:1200,2025-06-27,173350353,U,47150
4715038021107930000,4715038021,경상북도 김천시 대항면 향천리,793,1,토지대장,01,전,56.0,03,"외국인, 외국공공기관",3,12,1:1200,2025-06-27,173350352,U,47150
4715038021107930000,4715038021,경상북도 김천시 대항면 향천리,793,1,토지대장,01,전,56.0,03,"외국인, 외국공공기관",3,12,1:1200,2025-06-27,173350200,U,47150
